,TaskId,ResourceId
0,1,37
1,2,29
2,3,41
3,4,R09
4,5,33
5,6,30
6,7,R08
7,8,36
8,9,35
9,10,32
10,11,39
11,12,40
12,13,26
13,14,29
14,15,31
15,16,27
16,17,33
17,18,38
18,19,42
19,20,32
20,21,34
21,22,30
22,23,26
23,24,31
24,25,29
25,26,30
26,27,28
27,28,33
28,29,R08
29,30,29
30,31,28
31,32,36
32,33,38
33,34,R11
34,35,26
35,36,34
36,37,37
37,38,33
38,39,28
39,40,29
40,41,R12
41,42,35
42,43,27
43,44,30
44,45,42
45,46,39
46,47,40
47,48,32
48,49,R14
49,50,R64
50,51,R49
51,52,31
52,53,R10
53,54,R13
54,55,26
55,56,38
56,57,37
57,58,33
58,59,35
59,60,30
60,61,28
61,62,41
62,63,34
63,64,29
64,65,31
65,66,41
66,67,30
67,68,26
68,69,36
69,70,28
70,71,34
71,72,35
72,73,33
73,74,30
74,75,29
75,76,32
76,77,R19
77,78,31
78,79,39
79,80,31
80,81,28
81,82,30
82,83,33
83,84,26
84,85,34
85,86,28
86,87,26
87,88,29
88,89,28
89,90,30
90,91,39
91,92,32
92,93,35
93,94,37
94,95,30
95,96,33
96,97,R09
97,98,R12
98,99,26
99,100,41
100,101,27
101,102,33
102,103,42
103,104,36
104,105,38
105,106,40
106,107,31
107,108,28
108,109,30
109,110,34
110,111,R08
111,112,29
112,113,35
113,114,37
114,115,26
115,116,29
116,117,32
117,118,38
118,119,31
119,120,34
120,121,41
121,122,37
122,123,28
123,124,36
124,125,30
125,126,26
126,127,33
127,128,35
128,129,27
129,130,29
130,131,31
131,132,38
132,133,39
133,134,R08
134,135,35
135,136,30
136,137,37
137,138,34
138,139,27
139,140,40
140,141,28
141,142,32
142,143,36
143,144,R09
144,145,29
145,146,42
146,147,31
147,148,33
148,149,26
149,150,30
150,151,31
151,152,29
152,153,26
153,154,35
154,155,32
155,156,33
156,157,30
157,158,34
158,159,28
159,160,29
160,161,33
161,162,26
162,163,30
163,164,35
164,165,28
165,166,27
166,167,29
167,168,31
168,169,33
169,170,26
170,171,30
171,172,28
172,173,37
173,174,40
174,175,38
175,176,39
176,177,29
177,178,32
178,179,31
179,180,30
180,181,33
181,182,42
182,183,34
183,184,35
184,185,36
185,186,26
