turn_no,plane_size,inbound_arrival,outbound_departure
1,2,2023-11-21 18:11:00,2023-11-21 20:48:00
2,3,2023-11-21 22:40:00,2023-11-22 09:57:00
3,2,2023-11-21 12:50:00,2023-11-21 21:27:00
4,1,2023-11-21 20:44:00,2023-11-22 02:36:00
5,1,2023-11-21 12:48:00,2023-11-21 18:22:00
6,1,2023-11-21 00:08:00,2023-11-21 10:31:00
7,3,2023-11-21 11:46:00,2023-11-21 16:03:00
8,3,2023-11-21 18:18:00,2023-11-21 21:27:00
9,3,2023-11-21 15:24:00,2023-11-21 22:12:00
10,1,2023-11-21 04:32:00,2023-11-21 08:51:00
11,1,2023-11-21 22:04:00,2023-11-22 04:52:00
12,1,2023-11-21 23:59:00,2023-11-22 06:59:00
13,3,2023-11-21 04:19:00,2023-11-21 07:37:00
14,1,2023-11-21 17:21:00,2023-11-21 22:09:00
15,1,2023-11-21 21:15:00,2023-11-21 23:00:00
16,3,2023-11-21 04:48:00,2023-11-21 12:45:00
17,2,2023-11-21 12:28:00,2023-11-21 13:59:00
18,2,2023-11-21 05:50:00,2023-11-21 17:25:00
19,3,2023-11-21 23:14:00,2023-11-22 03:32:00
20,3,2023-11-21 03:53:00,2023-11-21 10:56:00
21,2,2023-11-21 00:58:00,2023-11-21 08:23:00
22,3,2023-11-21 03:05:00,2023-11-21 08:55:00
23,2,2023-11-21 11:59:00,2023-11-21 21:03:00
24,1,2023-11-21 07:59:00,2023-11-21 15:36:00
25,1,2023-11-21 19:40:00,2023-11-22 05:53:00
26,3,2023-11-21 08:19:00,2023-11-21 11:46:00
27,1,2023-11-21 05:33:00,2023-11-21 09:38:00
28,3,2023-11-21 11:21:00,2023-11-21 18:52:00
29,3,2023-11-21 12:22:00,2023-11-21 23:00:00
30,1,2023-11-21 02:15:00,2023-11-21 10:20:00
31,2,2023-11-21 01:33:00,2023-11-21 06:41:00
32,1,2023-11-21 21:22:00,2023-11-21 22:58:00
33,1,2023-11-21 05:27:00,2023-11-21 08:48:00
34,2,2023-11-21 13:37:00,2023-11-21 22:54:00
35,3,2023-11-21 13:52:00,2023-11-21 19:41:00
36,1,2023-11-21 11:41:00,2023-11-21 20:10:00
37,1,2023-11-21 13:48:00,2023-11-22 01:16:00
38,3,2023-11-21 18:39:00,2023-11-21 22:53:00
39,2,2023-11-21 11:03:00,2023-11-21 17:58:00
40,1,2023-11-21 02:57:00,2023-11-21 06:12:00
41,1,2023-11-21 17:10:00,2023-11-21 23:29:00
42,2,2023-11-21 02:06:00,2023-11-21 12:29:00
43,3,2023-11-21 13:35:00,2023-11-21 20:27:00
44,3,2023-11-21 07:01:00,2023-11-21 10:37:00
45,1,2023-11-21 19:14:00,2023-11-22 06:15:00
46,1,2023-11-21 03:08:00,2023-11-21 11:38:00
47,2,2023-11-21 23:37:00,2023-11-22 09:56:00
48,1,2023-11-21 14:00:00,2023-11-21 22:01:00
49,2,2023-11-21 02:11:00,2023-11-21 07:18:00
50,1,2023-11-21 09:50:00,2023-11-21 15:25:00
51,3,2023-11-21 16:19:00,2023-11-22 02:41:00
52,2,2023-11-21 16:39:00,2023-11-21 22:53:00
53,3,2023-11-21 16:27:00,2023-11-21 18:32:00
54,1,2023-11-21 22:12:00,2023-11-22 03:46:00
55,2,2023-11-21 06:01:00,2023-11-21 15:09:00
56,3,2023-11-21 11:19:00,2023-11-21 16:45:00
57,2,2023-11-21 05:30:00,2023-11-21 11:00:00
58,1,2023-11-21 00:51:00,2023-11-21 07:38:00
59,3,2023-11-21 08:05:00,2023-11-21 11:31:00
60,2,2023-11-21 08:24:00,2023-11-21 11:36:00
61,2,2023-11-21 01:17:00,2023-11-21 01:51:00
62,3,2023-11-21 08:53:00,2023-11-21 18:59:00
63,1,2023-11-21 23:04:00,2023-11-22 00:31:00
64,3,2023-11-21 17:33:00,2023-11-22 02:47:00
65,3,2023-11-21 04:55:00,2023-11-21 16:14:00
66,3,2023-11-21 10:43:00,2023-11-21 21:32:00
67,2,2023-11-21 16:50:00,2023-11-22 03:12:00
68,1,2023-11-21 11:46:00,2023-11-21 14:02:00
69,2,2023-11-21 03:01:00,2023-11-21 14:47:00
70,1,2023-11-21 22:46:00,2023-11-22 06:59:00
71,2,2023-11-21 15:28:00,2023-11-21 20:47:00
72,2,2023-11-21 01:38:00,2023-11-21 04:30:00
73,2,2023-11-21 19:40:00,2023-11-21 20:29:00
74,2,2023-11-21 10:19:00,2023-11-21 18:53:00
75,3,2023-11-21 22:21:00,2023-11-22 08:39:00
76,1,2023-11-21 08:43:00,2023-11-21 14:13:00
77,1,2023-11-21 22:20:00,2023-11-22 05:28:00
78,3,2023-11-21 01:06:00,2023-11-21 09:10:00
79,1,2023-11-21 20:57:00,2023-11-22 05:57:00
80,1,2023-11-21 13:42:00,2023-11-22 01:31:00
81,1,2023-11-21 05:00:00,2023-11-21 15:35:00
82,1,2023-11-21 09:27:00,2023-11-21 19:16:00
83,2,2023-11-21 08:57:00,2023-11-21 14:04:00
84,3,2023-11-21 02:46:00,2023-11-21 07:13:00
85,1,2023-11-21 20:43:00,2023-11-21 22:12:00
86,2,2023-11-21 01:04:00,2023-11-21 12:01:00
87,1,2023-11-21 17:54:00,2023-11-22 05:51:00
88,3,2023-11-21 01:00:00,2023-11-21 01:47:00
89,2,2023-11-21 08:42:00,2023-11-21 10:28:00
90,2,2023-11-21 17:15:00,2023-11-21 21:59:00
91,3,2023-11-21 01:30:00,2023-11-21 07:04:00
92,3,2023-11-21 09:54:00,2023-11-21 17:51:00
93,2,2023-11-21 12:34:00,2023-11-21 19:23:00
94,3,2023-11-21 10:58:00,2023-11-21 13:57:00
95,1,2023-11-21 03:44:00,2023-11-21 11:56:00
96,3,2023-11-21 02:53:00,2023-11-21 14:01:00
97,1,2023-11-21 19:13:00,2023-11-22 02:58:00
98,2,2023-11-21 10:45:00,2023-11-21 11:59:00
99,3,2023-11-21 07:46:00,2023-11-21 17:50:00
100,1,2023-11-21 06:17:00,2023-11-21 07:53:00
